thres,TN,FP,FN,TP,recall,precision,accuracy
0.5,39,30,31,70,0.693069306930693,0.7,0.6411764705882353
0.51,41,28,31,70,0.693069306930693,0.7142857142857143,0.6529411764705882
0.52,44,25,32,69,0.6831683168316832,0.7340425531914894,0.6647058823529411
0.53,44,25,32,69,0.6831683168316832,0.7340425531914894,0.6647058823529411
0.54,45,24,35,66,0.6534653465346535,0.7333333333333333,0.6529411764705882
0.55,45,24,38,63,0.6237623762376238,0.7241379310344828,0.6352941176470588
0.56,46,23,42,59,0.5841584158415841,0.7195121951219512,0.6176470588235294
0.5700000000000001,52,17,45,56,0.5544554455445545,0.7671232876712328,0.6352941176470588
0.58,56,13,50,51,0.504950495049505,0.796875,0.6294117647058823
0.59,56,13,52,49,0.48514851485148514,0.7903225806451613,0.6176470588235294
0.6,56,13,55,46,0.45544554455445546,0.7796610169491526,0.6
0.61,58,11,58,43,0.42574257425742573,0.7962962962962963,0.5941176470588235
0.62,59,10,62,39,0.38613861386138615,0.7959183673469388,0.5764705882352941
0.63,59,10,63,38,0.37623762376237624,0.7916666666666666,0.5705882352941176
0.64,59,10,64,37,0.36633663366336633,0.7872340425531915,0.5647058823529412
0.65,59,10,66,35,0.3465346534653465,0.7777777777777778,0.5529411764705883
0.66,60,9,67,34,0.33663366336633666,0.7906976744186046,0.5529411764705883
0.67,61,8,70,31,0.3069306930693069,0.7948717948717948,0.5411764705882353
0.6799999999999999,61,8,73,28,0.27722772277227725,0.7777777777777778,0.5235294117647059
0.69,61,8,73,28,0.27722772277227725,0.7777777777777778,0.5235294117647059
