Data number,Team1,Team2,Probability,Predict
370,公牛,巫師,[ 0.26061968  0.73938032],1
370,老鷹,籃網,[ 0.62800561  0.37199439],0
370,塞爾提,暴龍,[ 0.25289768  0.74710232],1
370,黃蜂,火箭,[ 0.19716019  0.80283981],1
370,公鹿,馬刺,[ 0.28911688  0.71088312],1
370,騎士,爵士,[ 0.67018489  0.32981511],0
370,活塞,國王,[ 0.47412686  0.52587314],1
370,拓荒者,湖人,[ 0.40189074  0.59810926],1
370,熱火,勇士,[ 0.16510382  0.83489618],1
320,公牛,巫師,[ 0.25135604  0.74864396],1
320,老鷹,籃網,[ 0.59052061  0.40947939],0
320,塞爾提,暴龍,[ 0.24093893  0.75906107],1
320,黃蜂,火箭,[ 0.18816808  0.81183192],1
320,公鹿,馬刺,[ 0.29217003  0.70782997],1
320,騎士,爵士,[ 0.64094682  0.35905318],0
320,活塞,國王,[ 0.5416506  0.4583494],0
320,拓荒者,湖人,[ 0.36972714  0.63027286],1
320,熱火,勇士,[ 0.16314316  0.83685684],1
270,公牛,巫師,[ 0.29306909  0.70693091],1
270,老鷹,籃網,[ 0.62278985  0.37721015],0
270,塞爾提,暴龍,[ 0.20694059  0.79305941],1
270,黃蜂,火箭,[ 0.17307283  0.82692717],1
270,公鹿,馬刺,[ 0.27355284  0.72644716],1
270,騎士,爵士,[ 0.6666211  0.3333789],0
270,活塞,國王,[ 0.54181051  0.45818949],0
270,拓荒者,湖人,[ 0.3736433  0.6263567],1
270,熱火,勇士,[ 0.18399542  0.81600458],1
220,公牛,巫師,[ 0.26273616  0.73726384],1
220,老鷹,籃網,[ 0.61731528  0.38268472],0
220,塞爾提,暴龍,[ 0.21078668  0.78921332],1
220,黃蜂,火箭,[ 0.21210567  0.78789433],1
220,公鹿,馬刺,[ 0.2449996  0.7550004],1
220,騎士,爵士,[ 0.59250685  0.40749315],0
220,活塞,國王,[ 0.42785445  0.57214555],1
220,拓荒者,湖人,[ 0.3676569  0.6323431],1
220,熱火,勇士,[ 0.19238192  0.80761808],1
170,公牛,巫師,[ 0.29453591  0.70546409],1
170,老鷹,籃網,[ 0.62292752  0.37707248],0
170,塞爾提,暴龍,[ 0.21913235  0.78086765],1
170,黃蜂,火箭,[ 0.26881684  0.73118316],1
170,公鹿,馬刺,[ 0.31183742  0.68816258],1
170,騎士,爵士,[ 0.64948568  0.35051432],0
170,活塞,國王,[ 0.49150888  0.50849112],1
170,拓荒者,湖人,[ 0.35029374  0.64970626],1
170,熱火,勇士,[ 0.26654958  0.73345042],1
120,公牛,巫師,[ 0.14181476  0.85818524],1
120,老鷹,籃網,[ 0.57933234  0.42066766],0
120,塞爾提,暴龍,[ 0.14094508  0.85905492],1
120,黃蜂,火箭,[ 0.13108697  0.86891303],1
120,公鹿,馬刺,[ 0.24250461  0.75749539],1
120,騎士,爵士,[ 0.57695782  0.42304218],0
120,活塞,國王,[ 0.43214731  0.56785269],1
120,拓荒者,湖人,[ 0.50805314  0.49194686],0
120,熱火,勇士,[ 0.16606377  0.83393623],1
